house_data_x,house_data_y,demand_per_house_liters,area_per_house_metersq,capacity_for_tank_per_house_lt,rainfall_estimate_for_city_mm,average_length_of_pipe_per_house,fixed_cost_of_tank_placement_per_house,cost_per_liters_tank_per_house
503.705,717.782,82.555,134.387,13.439,100,10.892,1000,500
-16.408,1218.144,149.185,136.867,13.687,100,-8.318,1000,500
234.719,878.906,129.046,43.958,4.396,100,-16.879,1000,500
871.943,354.177,103.514,102.75,10.275,100,53.069,1000,500
87.194,332.712,138.877,228.421,22.842,100,-6.246,1000,500
509.135,1071.488,129.098,82.071,8.207,100,-16.0,1000,500
909.454,291.184,173.59,14.649,1.465,100,7.738,1000,500
614.569,964.334,183.159,104.225,10.423,100,-21.565,1000,500
775.006,584.061,86.941,12.26,1.226,100,86.077,1000,500
554.634,613.481,65.566,96.834,9.683,100,24.506,1000,500
1195.261,289.486,65.254,105.747,10.575,100,-18.401,1000,500
550.548,587.802,197.021,119.722,11.972,100,57.224,1000,500
118.589,343.54,190.271,149.081,14.908,100,41.055,1000,500
617.293,668.637,122.816,121.076,12.108,100,74.264,1000,500
141.87,486.463,71.259,114.434,11.443,100,53.682,1000,500
496.474,886.491,105.709,93.679,9.368,100,-22.312,1000,500
581.701,872.008,175.679,55.6,5.56,100,54.325,1000,500
862.852,319.915,117.557,144.235,14.423,100,-6.857,1000,500
785.035,642.304,95.553,87.233,8.723,100,24.794,1000,500
993.951,777.462,145.848,52.48,5.248,100,50.272,1000,500
120.657,550.165,125.282,187.877,18.788,100,70.402,1000,500
1001.441,338.141,59.236,93.349,9.335,100,25.581,1000,500
146.257,992.779,119.458,38.348,3.835,100,-50.634,1000,500
87.164,882.671,78.752,145.836,14.584,100,26.972,1000,500
156.927,207.23,101.981,93.039,9.304,100,22.258,1000,500
624.586,821.705,73.602,77.091,7.709,100,64.801,1000,500
691.454,766.801,74.485,182.043,18.204,100,87.098,1000,500
234.697,979.459,55.586,159.301,15.93,100,51.304,1000,500
647.071,709.013,154.381,122.585,12.259,100,9.222,1000,500
769.838,815.93,133.67,132.145,13.215,100,-0.174,1000,500
958.755,445.25,46.634,77.239,7.724,100,85.595,1000,500
433.382,995.985,160.902,77.063,7.706,100,39.592,1000,500
604.03,577.613,268.186,169.239,16.924,100,19.054,1000,500
725.245,967.111,58.387,151.873,15.187,100,138.153,1000,500
813.56,522.243,82.983,172.59,17.259,100,68.245,1000,500
-22.218,1020.161,7.071,103.625,10.363,100,34.572,1000,500
952.695,304.57,100.041,166.805,16.681,100,-7.765,1000,500
-4.676,318.79,117.579,125.486,12.549,100,-34.347,1000,500
519.097,910.387,176.075,166.816,16.682,100,6.334,1000,500
755.903,954.944,65.976,75.209,7.521,100,48.703,1000,500
713.264,739.413,146.903,119.23,11.923,100,87.905,1000,500
525.146,920.958,65.929,46.731,4.673,100,65.904,1000,500
535.587,501.411,89.945,98.766,9.877,100,-4.184,1000,500
27.525,392.226,99.126,13.161,1.316,100,52.763,1000,500
725.939,979.56,10.604,155.11,15.511,100,111.37,1000,500
724.816,340.309,57.413,74.842,7.484,100,6.161,1000,500
231.977,331.451,18.585,41.995,4.2,100,66.375,1000,500
805.444,889.94,148.35,96.287,9.629,100,-5.558,1000,500
57.071,330.232,102.656,119.336,11.934,100,29.735,1000,500
180.088,1004.078,114.486,148.325,14.833,100,70.217,1000,500
858.151,808.836,103.122,-1.876,-0.188,100,114.926,1000,500
7.846,805.307,45.094,190.04,19.004,100,81.164,1000,500
602.392,417.697,106.527,54.737,5.474,100,-10.637,1000,500
732.449,1054.517,90.733,96.077,9.608,100,-2.399,1000,500
847.549,674.87,32.963,41.253,4.125,100,34.035,1000,500
651.089,947.469,83.799,244.828,24.483,100,79.203,1000,500
797.542,965.405,174.218,90.115,9.011,100,42.935,1000,500
658.011,738.23,165.654,45.083,4.508,100,67.792,1000,500
629.745,645.952,68.392,53.38,5.338,100,7.271,1000,500
845.592,914.013,80.421,38.409,3.841,100,85.081,1000,500
591.856,631.155,-18.425,139.501,13.95,100,22.499,1000,500
858.972,407.869,70.466,137.795,13.78,100,50.52,1000,500
740.508,624.147,14.35,52.085,5.208,100,-23.687,1000,500
496.75,949.291,34.357,-10.636,-1.064,100,53.882,1000,500
2.019,359.166,122.689,93.253,9.325,100,81.696,1000,500
239.564,1032.233,10.834,78.015,7.801,100,34.28,1000,500
745.455,846.346,171.276,140.697,14.07,100,23.814,1000,500
475.623,1048.873,82.715,74.445,7.445,100,-5.592,1000,500
135.715,110.743,149.933,96.902,9.69,100,-14.514,1000,500
55.565,882.613,136.269,101.038,10.104,100,-24.01,1000,500
1011.04,304.664,53.58,68.38,6.838,100,-3.885,1000,500
799.73,825.343,66.001,153.489,15.349,100,84.764,1000,500
407.819,874.91,44.369,140.475,14.048,100,92.28,1000,500
527.059,839.677,100.624,110.19,11.019,100,17.693,1000,500
700.046,854.975,73.684,93.203,9.32,100,79.545,1000,500
904.267,194.379,66.023,140.55,14.055,100,-1.737,1000,500
-98.085,326.694,172.997,94.09,9.409,100,67.688,1000,500
526.954,450.516,168.329,116.518,11.652,100,65.444,1000,500
44.015,249.391,185.405,173.855,17.385,100,13.065,1000,500
5.256,707.216,111.952,96.958,9.696,100,60.088,1000,500
-56.29,321.729,77.003,50.092,5.009,100,-9.667,1000,500
625.79,627.156,157.916,82.303,8.23,100,-34.294,1000,500
139.618,293.177,112.684,96.642,9.664,100,4.749,1000,500
12.287,1016.957,110.187,10.572,1.057,100,16.134,1000,500
182.037,948.869,188.66,29.444,2.944,100,64.419,1000,500
-102.666,1108.569,149.43,62.646,6.265,100,67.388,1000,500
801.408,384.129,59.429,107.722,10.772,100,59.912,1000,500
696.059,469.411,23.837,54.313,5.431,100,70.722,1000,500
683.759,645.723,84.95,137.325,13.733,100,72.444,1000,500
147.786,258.954,80.469,124.585,12.458,100,75.356,1000,500
561.19,809.874,123.402,35.766,3.577,100,22.279,1000,500
795.673,333.554,175.677,57.299,5.73,100,63.332,1000,500
580.496,976.031,121.232,91.373,9.137,100,-10.06,1000,500
857.601,790.137,106.117,117.301,11.73,100,21.722,1000,500
94.891,930.564,30.618,110.318,11.032,100,17.958,1000,500
761.481,847.001,76.648,124.699,12.47,100,60.761,1000,500
473.986,803.331,163.68,153.858,15.386,100,49.18,1000,500
597.26,595.641,106.086,100.186,10.019,100,65.013,1000,500
624.554,505.179,39.127,161.311,16.131,100,-32.168,1000,500
81.316,818.655,120.164,105.63,10.563,100,55.059,1000,500
816.349,772.811,26.345,28.962,2.896,100,59.326,1000,500
525.029,916.595,59.627,80.816,8.082,100,45.843,1000,500
32.885,164.525,48.362,94.076,9.408,100,-22.765,1000,500
246.266,935.739,142.642,99.544,9.954,100,108.171,1000,500
748.163,855.65,60.247,-18.554,-1.855,100,40.874,1000,500
