tanks_x,tanks_y
77.249,28.581
77.211,28.534
77.162,28.51
77.086,28.484
77.043,28.42
77.058,28.431
77.064,28.592
77.204,28.558
77.043,28.42
77.114,28.425
77.046,28.417
77.286,28.619
77.082,28.458
77.086,28.627
77.164,28.511
77.058,28.429
77.085,28.458
77.244,28.531
77.165,28.509
77.034,28.462
77.035,28.508
77.092,28.463
77.037,28.508
77.248,28.532
77.089,28.483
77.06,28.431
77.043,28.419
77.058,28.428
77.061,28.473
77.199,28.568
77.06,28.433
77.081,28.484
77.049,28.43
77.412,28.672
77.082,28.463
77.195,28.563
77.037,28.51
77.091,28.491
77.057,28.433
77.245,28.531
77.283,28.664
77.035,28.51
77.046,28.416
77.236,28.657
77.04,28.625
77.035,28.51
77.245,28.531
77.045,28.419
77.218,28.532
77.037,28.511
